Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",805,2,10uF,
"C10, C11, C12, C14, C5, C7",805,6,100nF,
"C3, C4",603,2,20pF,
D1,603,1,LED,
F1,1206,1,1A,
J1,USB_C_Receptacle_G-Switch_16p,1,USB_C_Receptacle_USB2.0_16P,
J14,PinHeader_1x17_P2.54mm_Vertical,1,Conn_01x17_Pin,
J3,PinHeader_1x20_P2.54mm_Vertical,1,Conn_01x20_Pin,
R1,603,1,1k,
"R4, R5",805,2,5k1,
"R7, R8",805,2,4k7,
"SW1, SW2, SW3",SW_Push_1P1T_NO_CK_KSC6xxJ,3,SW_Push,
U1,LQFP-48_7x7mm_P0.5mm,1,CH32V203C8T6,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8MHz,
